# Notable indicators, 10-17 August 2026. The sessions column is always a count; the metric column names exactly what is counted for that row, so one column carries one meaning.
type,indicator,sessions,metric,context
cve,CVE-2025-5777,4291,exploitation attempts on this CVE,"Citrix NetScaler ADC and NetScaler Gateway memory overread exposing session material. CVSS 7.5; in CISA KEV since 10 July 2025. The appliance flaw adversaries attempted to exploit most heavily this period, roughly nineteen times the next appliance signature. Carried in the 2026-07-20 and 2026-07-27 briefs."
cve,CVE-2026-60137,4125,exploitation attempts on this CVE,"WordPress Core SQL injection. In CISA KEV; affects WordPress Core 6.8.x below 6.8.6, 6.9.x below 6.9.5 and 7.0.x below 7.0.2, where a plugin or theme passes untrusted input to the affected query parameter. Reported in the 2026-07-20 and 2026-07-27 briefs, absent from the two briefs since, resumed this period."
cve,CVE-2020-3452,540,exploitation attempts on this CVE,"Cisco ASA and FTD web services file read. In CISA KEV. The vendor record bounds the read to files in the web services file system and states it cannot reach system or operating system files. Reconnaissance against the same platform ran far higher, with Cisco ASA Scanner at 405,464 probes."
cve,CVE-2025-4427,221,exploitation attempts on this CVE,"Ivanti Endpoint Manager Mobile API authentication bypass reaching the mobile device management API. CVSS 5.3; in CISA KEV since 19 May 2025. Carried in the Finding 1 table. Paired with CVE-2025-4428 code injection at 70 attempts; CVE-2025-4428 requires authentication on its own, and chained behind CVE-2025-4427 it does not. Audit which API accounts can issue or revoke device credentials."
cve,CVE-2023-46747,168,exploitation attempts on this CVE,"F5 BIG-IP configuration utility authentication bypass reaching arbitrary system commands. CVSS 9.8; in CISA KEV since 31 October 2023. A second GreyNoise signature for the same flaw fired 103 times in the window; both can fire on one request, so the higher count is carried. Exposure is via the management port and self IP addresses. First appearance in this brief series."
cve,CVE-2026-0257,160,exploitation attempts on this CVE,"Palo Alto Networks PAN-OS GlobalProtect authentication bypass. The documented impact is bypassing security restrictions to establish an unauthorized VPN connection. CVSS 9.1; in CISA KEV since 29 May 2026. Federal remediation deadline already elapsed. Critical, 24 to 48 hours. First appearance in this brief series."
cve,CVE-2026-21643,150,exploitation attempts on this CVE,"Fortinet FortiClient EMS SQL injection. CVSS 9.8; in CISA KEV since 13 April 2026. High priority within 7 days; a product whose compromise would reach the endpoints it manages. Carried as a patch-priority item in the 2026-02-13 and 2026-02-24 briefs; adversaries attempted to exploit it this period, the first such attempts this series has recorded against it."
cve,CVE-2026-3055,118,exploitation attempts on this CVE,"Citrix out-of-bounds read affecting NetScaler ADC and NetScaler Gateway when configured as a SAML IDP. CVSS 9.8; in CISA KEV since 30 March 2026. A second GreyNoise signature for the same flaw fired 54 times; the higher count of the pair is carried here. First appearance in this brief series."
cve,CVE-2026-48282,117,exploitation attempts on this CVE,"Adobe ColdFusion path traversal that the vendor record scores as reaching arbitrary code execution in the context of the current user, without user interaction; the GreyNoise tag describes the path as unauthenticated remote code execution through arbitrary file write operations. CVSS 10.0 with a changed scope; in CISA KEV since 7 July 2026. Affects ColdFusion 2025.9, 2023.20 and earlier. One of seventeen ColdFusion signatures active in the same window, so patching this flaw alone is unlikely to reduce attempt volume."
cve,CVE-2026-10520,83,exploitation attempts on this CVE,"Ivanti Sentry unauthenticated operating system command injection reaching root-level code execution on an appliance fronting mobile device management. CVSS 10.0; in CISA KEV since 11 June 2026, so it enters the queue more than two months overdue. Critical, 24 to 48 hours. First appearance in this brief series."
cve,CVE-2025-25257,83,exploitation attempts on this CVE,"Fortinet FortiWeb SQL injection, allowing an unauthenticated attacker to execute unauthorized SQL code or commands. CVSS 9.8; in CISA KEV since 18 July 2025. One of three separate Fortinet products whose KEV-listed flaws adversaries attempted to exploit this period."
cve,CVE-2026-39808,71,exploitation attempts on this CVE,"Fortinet FortiSandbox operating system command injection. CVSS 9.8; in CISA KEV since 16 July 2026. High priority within 7 days. First appearance in this brief series."
cve,CVE-2024-21887,68,exploitation attempts on this CVE,"Ivanti Connect Secure command injection. In CISA KEV. Paired with CVE-2024-21893 server-side request forgery at 67 attempts, the deeper tail of Ivanti activity beneath the Sentry flaw."
ip,62.164.177.54,2519647,connection attempts from this host,"AS215929, classified malicious. RDP crawling with 49,889 RDP Bruteforce Attempt sessions, 2% of its own connections. Paired with 192.253.248.251 on a shared JA4T; together 35% of all RDP crawling and 14% of all RDP credential attempts observed. Carried in the 2026-07-06, 2026-07-13, 2026-07-20, 2026-07-31 and 2026-08-10 briefs; up roughly 16% per day against the last. Perishable, pair with the RDP Crawler and RDP Bruteforce Attempt tags."
ip,45.141.233.145,2176192,connection attempts from this host,"AS201814, classified malicious, the only host of the ten-host port band sweep GreyNoise classifies as malicious. Owns the 1 to 3,000 band. The other nine members are classified unknown; resolve each in GreyNoise before acting."
ip,213.209.159.175,1600580,connection attempts from this host,"AS208137, classified malicious. Secret and configuration file harvesting across 35 signatures; 425,532 ENV Crawler sessions, 8% of the corpus-wide ENV Crawler total of 5,299,656, plus 35% of TeleMessage CVE-2025-48927 and 32% of Laravel CVE-2024-29291 attempts. Carried since the 2026-06-22 brief; roughly 17% lower per day than the 2026-08-10 brief. Requests are GET only against ports 80, 443, 3000 and 8000, using more than 5,000 distinct fabricated user agent strings; that count is a measured floor and the true population is higher."
ip,192.253.248.251,1409599,connection attempts from this host,"AS213790, classified malicious. Second RDP campaign, 18,749 RDP Bruteforce Attempt sessions, 1% of its own connections. Egresses through a commercial VPN service, so that provider carries the traffic and does not originate it. Carried in the 2026-08-10 brief."
cidr,45.141.233.0/24,18346694,connection attempts from the ten named hosts in this range,"AS201814 MEVSPACE, 14 active hosts in the range; the ten profiled hosts produced 18,346,694 connection attempts, 6.2% of all traffic observed. Each swept a disjoint contiguous band. Nine tile 1 to 27,000 in exact 3,000-port strides ordered by last octet, and 45.141.233.148 holds the top of the range, 60,001 to 65,535; the ten bands span 32,535 of the 65,535 TCP ports. All ten first observed 12 August 2026. Only 45.141.233.145 is classified malicious and the other nine are unknown, so do not block the range: restrict the named hosts individually. No behavior tag isolates this cluster: seven of the ten carry no GreyNoise signature, and what the other three carry is protocol observations, Web Crawler, and one tail vulnerability check session between them. Web Crawler is the only one of those a blocklist would key on, and GreyNoise labels it unknown intent and does not recommend blocking it, so dynamic blocking cannot carry the control as these addresses rotate; detect on the contiguous run length and the shared JA4T instead. The range itself was reported in the 2026-02-06 brief for a different host, 45.141.233.32, at 1,168,476 RDP scanning probes."
cidr,151.243.11.0/24,13040696,connection attempts from all hosts in this range,"AS209630, 61 active hosts running a matched proxy-hunting toolkit, linked to 45.194.67.0/24 by a shared low-volume tail in the same rank order. Open Proxy Scanner 2,560,909 probes against SOCKS5 Proxy Scanner 2,577,547. Combined with 45.194.67.0/24 this accounts for roughly 77% of Open Proxy Scanner and 87% of SOCKS5 Proxy Scanner probes observed, 82% of the two tags combined. GreyNoise classifies every host in the contiguous 151.243.11.150 to .199 block as malicious; hosts outside that block are mixed, so resolve them before acting. The control that survives turnover is dynamic blocking on the two proxy scanner tags."
cidr,45.194.67.0/24,5417928,connection attempts from all hosts in this range,"AS215925 VPSVAULT[.]HOST, 31 active hosts running a matched proxy-hunting toolkit, linked to 151.243.11.0/24 by a shared low-volume tail in the same rank order. Open Proxy Scanner 1,076,535 probes against SOCKS5 Proxy Scanner 1,075,219, within 1% of each other. GreyNoise classifies every host in the contiguous 45.194.67.50 to .69 block as malicious; hosts outside that block are mixed, so resolve them before acting. The durable control is dynamic blocking on the Open Proxy Scanner and SOCKS5 Proxy Scanner tags."
cidr,45.153.34.0/24,448290,SSH Bruteforcer sessions from this range,"AS197170 TechTies, 30 active hosts. Supplied 448,290 of the 3,643,728 SSH Bruteforcer credential attempts observed. Tracked since the 2026-06-01 brief. Resolve individual members in GreyNoise before applying anything range-wide; the range is not uniformly malicious."
asn,AS209630,N/A,not applicable to an ASN row,"Carries 151.243.11.0/24, whose 61 active hosts are 61 of the 92 hosts running the matched proxy-hunting toolkit this period. From that range, Open Proxy Scanner reached 2,560,909 probes against SOCKS5 Proxy Scanner at 2,577,547. The range has not appeared in this brief series before. Do not block the ASN; restrict named hosts and rely on the Open Proxy Scanner and SOCKS5 Proxy Scanner tags."
asn,AS215925,N/A,not applicable to an ASN row,"VPSVAULT[.]HOST. Carries 45.194.67.0/24 running a matched proxy-hunting toolkit this period. The same network's MikroTik RouterOS credential attacks from 45.198.224.0/24, carried since the 2026-05-26 brief, fell to 246 credential attempts from 696,047. Do not block the ASN; restrict named hosts and rely on the behavior tags."
fingerprint,JA4T 64240_2-1-3-1-1-4_1460_8,23101229,corpus-wide connection attempts on this fingerprint,"Sole TCP client fingerprint presented by all ten hosts of the 45.141.233.0/24 port band sweep. The corpus-wide figure spans all sources and is the second highest volume JA4T of the period. The 2026-07-31 brief carried the same value for an unrelated host pair. It marks a tool class, not this cluster. Pivot on it to raise candidates, then confirm each on its own port band behavior before linking it here."
fingerprint,JA4T 200_2-1-3-1-1-4_1460_0,5866346,corpus-wide connection attempts on this fingerprint,"Present on 62.164.177.54 (AS215929) and 192.253.248.251 (AS213790), both classified malicious, which sit on different networks; this fingerprint does not by itself link the two hosts. The corpus-wide figure spans all sources and ranks twelfth by volume this period, so it marks a tool class and is a hunting pivot, not attribution. Both hosts also carry MySQL Protocol as a minor signature."
user_agent,"Mozilla/5.0 (compatible; Googlebot/2.1;  http://www.google.com/bot.html)",232,connection attempts from 213.209.159.175 carrying this user agent,"Fabricated Googlebot identification from 213.209.159.175, 232 of that host's 1,600,580 connection attempts, inside the same harvesting run. GreyNoise carries this behavior under the tag GoogleBot Pretender. The string is malformed, with two spaces and no plus before the URL where genuine Googlebot sends +http://, so it is matchable as written and must not be normalized. A second Googlebot-Mobile spoof string from the same host was also present, so 232 counts this one string and is not the host's total for Googlebot impersonation. Verify crawler claims by reverse DNS rather than by user agent string."
