type,indicator,count,context
fingerprint,JA4 t13i1010h2_18ef40b21276_879711aa9f16,64,"Shared TLS client fingerprint of the credential-harvesting fleet; links 64 hosts this week across Bucklog SARL (AS211590, France, 18 hosts in the fingerprint view) and the 3xK Tech range (AS200373, 46), all running the identical secret-harvesting toolkit. Durable hunt pivot as the hosts rotate."
cidr,185.177.72.0/24,6020794,"Bucklog SARL, AS211590, France. Measured core of the harvesting fleet in the GreyNoise corpus this week: 21 active hosts in the /24 in the session corpus (18 of them carry the fleet JA4 counted in the fingerprint row above), 6,020,794 connection attempts (~6% of the week). Block dynamically via GreyNoise classification and pair with the JA4 hunt."
asn,AS200373,46,"3xK Tech GmbH hosting range (US/Germany/Canada); 46 hosts carried the fleet JA4 and identical toolkit this week. Large shared hosting pool, so hunt the fingerprint, do not block the ASN wholesale."
cve,CVE-2026-21962,61,"Oracle HTTP Server / WebLogic Server Proxy Plug-in access-control bypass, CVSS 10.0, unauthenticated, scope change, not in CISA KEV. 61 source IPs probing this week (Cloudflare-hosted 32, Bucklog fleet arm 21); ~110 malicious sources over prior 30 days. Emergency-patch candidate."
cve,CVE-2026-4020,56,"Gravity SMTP (WordPress plugin) sensitive information exposure, CVSS 7.5, not in CISA KEV. Carried by 56 of the 64 fleet fingerprint hosts this week; broader wave exceeds 1,600 malicious sources over the prior 10 days."
cve,CVE-2025-5777,300,"Citrix NetScaler ADC/Gateway out-of-bounds memory read (CitrixBleed 2), CVSS 7.5, CISA KEV (added 2025-07-09), public exploit available. 300 source IPs this week carried this AND the Palo Alto GlobalProtect login-scanner signature together; all classified malicious. Traffic reached GreyNoise sensors in dozens of countries, Germany most often (351 of 380 signature sources), also US/India/Netherlands/Israel; the German concentration is a sensor-placement artifact, not targeting of German assets."
asn,AS26548,141,"PureVoltage Hosting, top provider in the 300-host Citrix + Palo Alto cluster (141 hosts). Other providers: Fast Servers / AS43444 (58), Limestone Networks / AS46475 (56), Global Transit Systems / AS213954 (31). Block dynamically and alert on the co-occurring vendor signatures."
cve,CVE-2026-60137,112,"WordPress Core SQL injection (WP_Query author__not_in), CVSS 5.9, CISA KEV (added 2026-07-20, inside this analysis window). 112 source IPs on the dedicated signature this week; ~95 after excluding the LeakIX (16) and BinaryEdge (1) research scanners. Hosting-led (DigitalOcean 30, AS14061)."
cve,CVE-2026-63030,12,"WordPress Core REST API batch endpoint route confusion (Interpretation Conflict), CVSS 9.8, CISA KEV (added 2026-07-20). Chains with CVE-2026-60137 SQL injection to reach remote code execution. 12 source IPs over the prior 30 days (clustered around the 20 July KEV listing), 3 still active this week; all malicious, all on hosting; every one also carried the CVE-2026-60137 signature. Affects 6.9.x < 6.9.5 and 7.0.x < 7.0.2."
cve,CVE-2026-28414,7319,"Gradio absolute-path traversal file read, CVSS 7.5, not in CISA KEV. Continued probing from Feo Prest host 213.209.159.175 (7,319 probes this week vs a small number of sources worldwide); niche developer surface, bellwether to watch."
cve,CVE-2025-55182,112058,"React Server Components deserialization RCE, CVSS 10.0, CISA KEV, public exploit available. Persistent since 2026-06-15 brief; 112,058 attempts this week, declining from 189,829 in the 2026-07-13 brief."
cve,CVE-2017-9841,377406,"PHPUnit RCE, CVSS 9.8, CISA KEV listed. Perennial commodity baseline; WAF-block eval-stdin.php paths where legacy PHP cannot be patched."
cve,CVE-2012-1823,47418,"PHP-CGI RCE, CVSS 9.8, CISA KEV listed. Commodity baseline, steady vs prior briefs."
cve,CVE-2024-4577,37505,"PHP-CGI argument injection RCE, CVSS 9.8, CISA KEV listed. Commodity baseline under heavy opportunistic probing."
cve,CVE-2022-47945,28834,"ThinkPHP LFI, CVSS 9.8, not in CISA KEV. Commodity baseline, steady vs prior briefs."
ip,170.253.147.12,717883,"AS46687, BCI Mississippi Broadband, United States ISP. Single-purpose SSH brute force (30,162 brute-force-tagged) this week; declining about 73% from 2,638,344 in the 2026-07-20 brief. Gate on the brute-force behavior, not ASN or geography. JA4T 29200_2-4-8-1-3_1460_7 is a coarse corroborator only."
cidr,213.209.159.0/24,2655818,"Feo Prest SRL, AS208137, Germany. Named 2-host pair (213.209.159.175 + 213.209.159.154), secret-harvesting plus Gradio CVE-2026-28414 probing; hunt the shared f57a46bbacb6 JA4 fragment across providers."
cidr,45.148.10.0/24,N/A,"TECHOFF SRV LIMITED, AS48090, Netherlands. Second provider-scale web-recon fleet (also 195.178.110.0/24), same secret-harvesting theme as the Finding 1 fleet; block and monitor."
fingerprint,JA4T 29200_2-4-8-1-3_1460_7,N/A,"TCP fingerprint of SSH brute-force host 170.253.147.12; coarse corroborator (also appears on unrelated Linux hosts). Use to cluster, not to block in isolation."
