type,indicator,sessions,context
cve,CVE-2025-29927,574683,"Next.js middleware authorization bypass. A single HTTP header makes the framework skip middleware, which is where many applications place their authentication and authorization checks. Rated CVSS 9.1 and NOT listed in CISA KEV, so a KEV-driven patch queue will not contain it. Local sensor connection attempts this period, against 466,856 across the longer window of the 2026-09-08 brief, a daily rate roughly 79% higher. GreyNoise records 9,493 malicious source IPs on it in a 24 hour view."
cve,CVE-2025-55182,369284,"Meta React Server Components unsafe deserialization reaching unauthenticated remote code execution. Rated CVSS 10.0 and listed in CISA KEV, which records known ransomware use against it. Local sensor connection attempts this period, a daily rate roughly 23% above the 2026-09-08 brief. The separate NextRce tool tag fell to 4,820 and its share of these attempts dropped from 2.5% to 1.3%, reversing the prior brief's trend, so write the rule against the request structure and endpoint rather than the payload byte string."
cve,CVE-2020-2034,184911,"Palo Alto Networks PAN-OS GlobalProtect OS command injection. Rated CVSS 8.1 and NOT listed in CISA KEV. The sessions figure is the PAN-OS discovery crawler keyed to this identifier, not exploitation attempts: that discovery volume ran roughly 391 times the 473 attempts recorded against CVE-2025-0108 in the same window. Discovery at that ratio gives a program useful lead time on this surface. No prior-period comparison is asserted."
cve,CVE-2018-2628,108839,"Oracle WebLogic Server T3 deserialization reaching unauthenticated takeover of the application server. Rated CVSS 9.8 and listed in CISA KEV. Corpus-wide connection attempts this period, of which 44,991 (41%) came from the single malicious host 34.19.116.50 on AS396982. That host replaced the address the 2026-09-08 brief named on the same network, running the same three-behavior signature one week later. Where patching is blocked, restrict the T3 listener to a management network."
cve,CVE-2026-0770,4770,"Langflow untrusted control sphere inclusion reaching unauthenticated remote code execution as root. In CISA KEV since 21 July 2026, carrying a federal remediation deadline, with public exploit code. The upstream CVSS record returns no published severity score, which is a scoring gap and not a low-severity signal. Local sensor connection attempts this period. Daily unique sources ran 18 to 28 from 08 through 11 September, then 159 on 12 September and 412 on 13 September. Two hosting providers supply roughly 95% of those addresses and every one also carries a generic web crawling tag, so the source count measures provider egress. Treat every source address on this flaw as perishable. New to this brief series."
cve,CVE-2025-3248,3968,"Langflow /api/v1/validate/code code injection reaching unauthenticated remote code execution in versions prior to 1.3.0. Rated CVSS 9.8 and in CISA KEV since 05 May 2025, with public exploit code available. Local sensor connection attempts this period. Its daily source series stayed within five sources of CVE-2026-0770 on every day of the window, and within two on both days of the step-up. Every source GreyNoise recorded on this flaw over the last 7 days also carries CVE-2026-0770, so the two travel as one toolkit. Roughly nine in ten also collected environment files and enumerated WordPress installations, and about four in five requested repository configuration, which places this probe inside a commodity crawler sweep. New to this brief series."
cve,CVE-2026-81735,2644,"UI-TARS-desktop remote code execution: the AI agent desktop tool ships a Model Context Protocol server that binds to every interface with authentication optional and passes caller-supplied strings to a command execution function. The default bind address changed to localhost in a later commit while the package version stayed at 1.2.4, so the boundary is the commit rather than a release. Rated CVSS 10.0 and NOT listed in CISA KEV, with no recorded public exploit code. Local sensor connection attempts this period, from no sources at all through 11 September, then 145 on 12 September and 390 on 13 September. The same two hosting providers supply 601 of the 602 addresses GreyNoise recorded on this flaw, so its source count measures provider egress. Disabling the listener is the compensating control."
cve,CVE-2025-0108,473,"Palo Alto Networks PAN-OS management web interface authentication bypass. Rated CVSS 9.1 and listed in CISA KEV since 18 February 2025. Local sensor connection attempts this period, beneath the Palo Alto Networks PAN-OS CVE-2020-2034 Crawler tag at 184,911 attempts, so discovery ran roughly 391 times the exploitation attempts. Restricting the management web interface to a management network is the compensating control where patching is blocked. No prior-period comparison is asserted."
cve,CVE-2026-30632,458,"knowns 0.11.4 path traversal through the create_doc folder name, one of two traversal flaws in the same agent tool interface. Rated CVSS 7.5 and NOT listed in CISA KEV. Local sensor connection attempts this period, from 122 exclusively malicious sources, all of them on 14 September and none on any earlier day of the window. Onset sits at the window close, so expect the bulk of this activity in the next period."
cve,CVE-2026-30633,458,"knowns 0.11.4 path traversal through the get_doc and update_doc tools, the companion flaw to CVE-2026-30632 and observed at an identical volume from the same 122 exclusively malicious sources on the same single day. Rated CVSS 7.5 and NOT listed in CISA KEV. Local sensor connection attempts this period. Treat the pair as one behavior against one product, not two tickets."
